ID,GICS Sector,Partial Errors
8583 JP Equity,Financial,
8591 JP Equity,Financial,
8593 JP Equity,Financial,
8595 JP Equity,Financial,
8601 JP Equity,Financial,
8603 JP Equity,Financial,
8604 JP Equity,Financial,
8606 JP Equity,Financial,
8607 JP Equity,Financial,
8615 JP Equity,Financial,
8630 JP Equity,Financial,
868 HK Equity,Industrial,
8697 JP Equity,Financial,
87 HK Equity,Financial,
8725 JP Equity,Financial,
8729 JP Equity,Financial,
8750 JP Equity,Financial,
8754 JP Equity,Financial,
8755 JP Equity,Financial,
8761 JP Equity,Financial,
8766 JP Equity,Financial,
8795 JP Equity,Financial,
880 HK Equity,"Consumer, Cyclical",
8801 JP Equity,Financial,
8802 JP Equity,Financial,
8804 JP Equity,Financial,
8815 JP Equity,Financial,
8830 JP Equity,Financial,
8848 JP Equity,Financial,
8868 JP Equity,Financial,
8905 JP Equity,Financial,
8933 JP Equity,Financial,
8951 JP Equity,Financial,
8952 JP Equity,Financial,
8953 JP Equity,Financial,
8954 JP Equity,Financial,
8960 JP Equity,Financial,
8984 JP Equity,Financial,
8TRA GY Equity,"Consumer, Cyclical",
9001 JP Equity,Industrial,
9005 JP Equity,Industrial,
9006 JP Equity,Industrial,
9007 JP Equity,Industrial,
9008 JP Equity,Industrial,
9009 JP Equity,Industrial,
9020 JP Equity,Industrial,
9021 JP Equity,Industrial,
9022 JP Equity,Industrial,
9024 JP Equity,Industrial,
9041 JP Equity,Industrial,
9042 JP Equity,Industrial,
9045 JP Equity,Industrial,
9048 JP Equity,Industrial,
9064 JP Equity,Industrial,
9101 JP Equity,Industrial,
9104 JP Equity,Industrial,
9107 JP Equity,Industrial,
9142 JP Equity,Industrial,
9143 JP Equity,Industrial,
9147 JP Equity,Industrial,
917 HK Equity,Communications,
9201 JP Equity,"Consumer, Cyclical",
9202 JP Equity,"Consumer, Cyclical",
9205 JP Equity,"Consumer, Cyclical",
9301 JP Equity,Industrial,
9401 JP Equity,Communications,
9404 JP Equity,Communications,
9408593Q LN Equity,Industrial,
9432 JP Equity,Communications,
9433 JP Equity,Communications,
9434 JP Equity,Communications,
9435 JP Equity,Communications,
9437 JP Equity,Communications,
9501 JP Equity,Utilities,
9502 JP Equity,Utilities,
9503 JP Equity,Utilities,
9504 JP Equity,Utilities,
9505 JP Equity,Utilities,
9506 JP Equity,Utilities,
9507 JP Equity,Utilities,
9508 JP Equity,Utilities,
9509 JP Equity,Utilities,
9513 JP Equity,Utilities,
9531 JP Equity,"Consumer, Cyclical",
9532 JP Equity,Utilities,
9533 JP Equity,Utilities,
9602 JP Equity,"Consumer, Cyclical",
9613 JP Equity,Technology,
9684 JP Equity,Technology,
9697 JP Equity,Technology,
97 HK Equity,"Consumer, Cyclical",
9706 JP Equity,Industrial,
9719 JP Equity,Technology,
973 HK Equity,"Consumer, Non-cyclical",
9735 JP Equity,"Consumer, Non-cyclical",
9737 JP Equity,Technology,
975 HK Equity,Energy,
9766 JP Equity,Technology,
9783 JP Equity,"Consumer, Non-cyclical",
9831 JP Equity,"Consumer, Cyclical",
